	0
1874	6.9
1877	5.6
1878	6.37
1881	5.85
1882	6.1
1883	6.3
1885	5.3
1887	4.84
1888	6.16
1889	5.1
1890	5.15
1891	4.71
1892	5.02
1893	4.77
1894	4.75
1895	4.89
1896	4.76
1897	4.67
1898	4.72
1899	4.93
1900	5.07
1901	5.29
1902	5.25
1903	5.09
1904	5.11
1905	5.18
1906	5.16
1907	5.42
1908	5.54
1909	5.61
1910	5.37
1911	5.36
1912	5.41
1913	5.51
1914	5.78
1915	5.8
1916	5.91
1917	5.89
1918	5.92
1919	5.93
1920	5.56
1921	6.01
1922	5.97
1923	6.02
1924	6.11
1925	6.06
1926	6.03
1927	6.24
1928	6.32
1929	6.14
1930	5.94
1931	5.81
1932	6.01
1933	6.05
1934	6.07
1935	6.05
1936	6.11
1937	6.15
1938	6.13
1939	6.2
1940	6.19
1941	6.15
1942	6.17
1943	6.2
1944	6.16
1945	6.12
1946	6.32
1947	6.32
1948	6.37
1949	6.37
1950	6.43
1951	6.41
1952	6.63
1953	6.75
1954	6.78
1955	6.87
1956	6.85
1957	6.88
1958	6.96
1959	7.0
1960	7.07
1961	7.03
1962	7.0
1963	6.95
1964	6.92
1965	6.86
1966	6.9
1967	6.84
1968	6.85
1969	6.85
1970	6.75
1971	6.64
1972	6.67
1973	6.69
1974	6.74
1975	6.75
1976	6.81
1977	6.79
1978	6.77
1979	6.71
1980	6.69
1981	6.71
1982	6.73
1983	6.71
1984	6.73
1985	6.77
1986	6.77
1987	6.78
1988	6.73
1989	6.78
1990	6.8
1991	6.83
1992	6.78
1993	6.83
1994	6.83
1995	6.85
1996	6.83
1997	6.8
1998	6.79
1999	6.81
2000	6.82
2001	6.88
2002	6.84
2003	6.83
2004	6.85
2005	6.89
2006	6.85
2007	6.85
2008	6.81
2009	6.92
2010	6.96
2011	7.01
2012	7.06
2013	7.04
2014	7.1
2015	7.08
2016	7.09
2017	7.12
2018	7.08
2019	7.1
2020	7.06
2021	7.08
2022	7.25
